aaaaaaand                                    3027 lines
comets                                       2998 lines
comeuppance                                  15774 lines
comfort                                      11425 lines
comfortable                                  21422 lines
comfortably                                  2930 lines
comforting                                   21011 lines
comforts                                     12577 lines
comin                                        21787 lines
coming                                       22006 lines
comings                                      697 lines
command                                      20125 lines
commen                                       2441 lines
commending                                   7035 lines
comment                                      15763 lines
commentary                                   10616 lines
commentating                                 10578 lines
commented                                    4486 lines
comments                                     9592 lines
committed                                    600 lines
committee                                    3624 lines
common                                       20564 lines
commoners                                    19669 lines
commotion                                    20869 lines
communicating                                11186 lines
communities                                  13299 lines
community                                    21455 lines
companions                                   18480 lines
company                                      22095 lines
compare                                      1706 lines
compared                                     14417 lines
comparing                                    11706 lines
comparison                                   13095 lines
compartment                                  22249 lines
compatible                                   9385 lines
compensation                                 4453 lines
compete                                      18633 lines
competin                                     8874 lines
competing                                    12746 lines
competition                                  18595 lines
competitors                                  8533 lines
complacent                                   12297 lines
complain                                     18598 lines
complained                                   9577 lines
complaining                                  17453 lines
complaint                                    722 lines
complete                                     20973 lines
completed                                    6353 lines
completely                                   20699 lines
complexion                                   2474 lines
complicated                                  12592 lines
complications                                1866 lines
complied                                     2577 lines
composed                                     16365 lines
comprehension                                14297 lines
comprised                                    17757 lines
comprises                                    5491 lines
compromises                                  8372 lines
compulsively                                 1084 lines
computer                                     646 lines
computers                                    16571 lines
con                                          9278 lines
conceal                                      14650 lines
concealed                                    20751 lines
concealing                                   15620 lines
concealment                                  10350 lines
conceived                                    20839 lines
concentrate                                  18545 lines
concentrated                                 20255 lines
concentrating                                18832 lines
concentration                                12427 lines
concern                                      10022 lines
concerned                                    18539 lines
concerns                                     18313 lines
concert                                      16835 lines
concluded                                    81 lines
conclusion                                   16002 lines
conclusions                                  18465 lines
concocted                                    19918 lines
condensation                                 13175 lines
condi                                        9345 lines
condition                                    18364 lines
conditions                                   9674 lines
conductor                                    3637 lines
confection                                   2241 lines
confederation                                9278 lines
conference                                   15288 lines
confess                                      21324 lines
confessed                                    13126 lines
confession                                   21348 lines
confide                                      509 lines
confided                                     12210 lines
confident                                    18848 lines
confidentially                               11463 lines
confines                                     9489 lines
confirm                                      15763 lines
confirmed                                    9555 lines
confirming                                   16773 lines
confiscated                                  3369 lines
conflict                                     833 lines
confolly's                                   3351 lines
confronted                                   20772 lines
confundus                                    8421 lines
confused                                     20300 lines
confusion                                    22210 lines
congratulate                                 18043 lines
congratulated                                13486 lines
congratulations                              12292 lines
congregate                                   1909 lines
congregated                                  7066 lines
congregating                                 18680 lines
conjunction                                  6659 lines
conjunctivitus                               12293 lines
conjure                                      4540 lines
conjured                                     15857 lines
conjuring                                    19412 lines
connect                                      15020 lines
connected                                    21083 lines
connecting                                   20820 lines
connection                                   21876 lines
connections                                  779 lines
connolly                                     3345 lines
conquer                                      20573 lines
conscience                                   13841 lines
consciousness                                12324 lines
consent                                      21551 lines
consequently                                 11958 lines
consider                                     18632 lines
considerable                                 21556 lines
considerably                                 18827 lines
consideration                                5630 lines
considered                                   19989 lines
considering                                  13907 lines
considers                                    15570 lines
consignment                                  12878 lines
consisted                                    12407 lines
consolingly                                  11200 lines
conspicuous                                  4812 lines
conspiratorially                             10590 lines
constant                                     17377 lines
constantly                                   19736 lines
constellation                                3734 lines
constitutes                                  7729 lines
constrained                                  21999 lines
constricted                                  21129 lines
constructive                                 11827 lines
consult                                      11214 lines
consultation                                 6004 lines
consulted                                    2128 lines
consulting                                   2158 lines
consumed                                     12660 lines
consuming                                    20027 lines
contact                                      21828 lines
contacts                                     12861 lines
contagious                                   11417 lines
contain                                      4353 lines
contained                                    20628 lines
containing                                   20729 lines
contains                                     21095 lines
contaminating                                4067 lines
contemptuous                                 2921 lines
contemptuously                               8266 lines
contend                                      20508 lines
contenders                                   5629 lines
contented                                    13142 lines
contents                                     20636 lines
contestants                                  8302 lines
contin                                       5508 lines
continents                                   2625 lines
continually                                  21980 lines
continue                                     21150 lines
continued                                    21896 lines
continuing                                   19849 lines
contorted                                    6334 lines
contract                                     8376 lines
contracted                                   8263 lines
contrary                                     21687 lines
contrast                                     2571 lines
contrasted                                   9152 lines
contrasting                                  17953 lines
contribute                                   8172 lines
contribution                                 2911 lines
control                                      21426 lines
controlled                                   20852 lines
controlling                                  6995 lines
controversial                                13252 lines
conured                                      4143 lines
convenient                                   13944 lines
conveniently                                 621 lines
conversation                                 22052 lines
conversations                                22005 lines
converse                                     18627 lines
conversing                                   18711 lines
convey                                       3393 lines
convicted                                    600 lines
convince                                     20676 lines
convinced                                    21826 lines
convincing                                   2523 lines
convulsively                                 14281 lines
cook                                         18803 lines
cooked                                       7201 lines
cookies                                      21756 lines
cooking                                      11065 lines
cool                                         15713 lines
coolly                                       21376 lines
cooperation                                  16004 lines
coordinated                                  3341 lines
cope                                         7698 lines
coped                                        8916 lines
copied                                       11613 lines
copies                                       6641 lines
copper                                       1623 lines
copy                                         21989 lines
copying                                      6671 lines
cordially                                    2441 lines
cords                                        19413 lines
core                                         9387 lines
cores                                        21094 lines
cork                                         14806 lines
cornelius                                    21537 lines
corner                                       19014 lines
cornered                                     22183 lines
cornering                                    14213 lines
corners                                      21648 lines
cornish                                      18806 lines
correct                                      21121 lines
corrected                                    8876 lines
correctly                                    14248 lines
correspondent                                18593 lines
corridor                                     22127 lines
corridors                                    22211 lines
corruption                                   17048 lines
cos                                          13801 lines
cost                                         16807 lines
costing                                      21048 lines
costs                                        20895 lines
cots                                         2945 lines
cottage                                      6501 lines
cottages                                     15693 lines
cottoning                                    11297 lines
cough                                        22167 lines
coughed                                      20416 lines
coughing                                     8033 lines
could                                        22249 lines
could've                                     18642 lines
coulda                                       17088 lines
couldn                                       17089 lines
couldn't                                     21941 lines
couldnt                                      13970 lines
council                                      18078 lines
counseled                                    17381 lines
count                                        21528 lines
counted                                      19881 lines
counter-jinx                                 18519 lines
countercurse                                 6518 lines
countercurses                                6344 lines
counterpart                                  10611 lines
counterparts                                 11354 lines
counting                                     1032 lines
countless                                    17930 lines
countries                                    2670 lines
country                                      19882 lines
countryside                                  15693 lines
couple                                       18613 lines
coupled                                      618 lines
courage                                      21033 lines
course                                       22181 lines
courses                                      18835 lines
court                                        20676 lines
courteous                                    9290 lines
courtesy                                     5645 lines
cousin                                       13522 lines
cousin's                                     13522 lines
cover                                        22184 lines
covered                                      22250 lines
covering                                     16277 lines
covers                                       2275 lines
cow                                          18568 lines
cowardice                                    236 lines
cowardly                                     19787 lines
cowards                                      20475 lines
cowering                                     3941 lines
cozy                                         12790 lines
crabbe                                       22249 lines
crabs                                        8897 lines
crack                                        20075 lines
cracked                                      19481 lines
crackers                                     12419 lines
cracking                                     1276 lines
crackling                                    19436 lines
crackpot                                     21408 lines
cradling                                     20977 lines
crammed                                      21524 lines
cramming                                     1295 lines
cramped                                      2270 lines
craning                                      21956 lines
cranny                                       1031 lines
crash                                        7322 lines
crashed                                      4513 lines
crashing                                     20577 lines
crate                                        16429 lines
crates                                       16472 lines
crave                                        19804 lines
crawled                                      19630 lines
crawling                                     12942 lines
creak                                        494 lines
creaked                                      13876 lines
cream                                        12209 lines
cream-filled                                 9625 lines
creams                                       22237 lines
creamy                                       1624 lines
crease                                       4599 lines
creased                                      13548 lines
creation                                     13275 lines
creature                                     19840 lines
creatures                                    21433 lines
creep                                        4690 lines
creeping                                     4703 lines
creepy                                       18861 lines
creevey                                      14898 lines
creevey's                                    5208 lines
creeveys                                     9997 lines
crept                                        19066 lines
crescendo                                    10663 lines
crest                                        11359 lines
crestfallen                                  14786 lines
cribbage's                                   12419 lines
cried                                        21412 lines
cries                                        20119 lines
crime                                        18079 lines
crimes                                       18107 lines
criminal                                     507 lines
criminals                                    195 lines
crimson                                      9154 lines
crinkled                                     13796 lines
crisp                                        12211 lines
crisps                                       8606 lines
crisscrossed                                 16646 lines
crisscrossing                                20116 lines
critical                                     15763 lines
criticizing                                  18729 lines
cro                                          9188 lines
croaked                                      14829 lines
croaker                                      2453 lines
croakily                                     13765 lines
croaky                                       15095 lines
crocodile                                    13655 lines
crocodile-skin                               9153 lines
cronies                                      4976 lines
crook                                        19508 lines
crooked                                      19943 lines
crookshanks                                  21981 lines
cropped                                      13181 lines
cross                                        22208 lines
cross-legged                                 13925 lines
cross-species                                11615 lines
crossbow                                     17000 lines
crossed                                      21879 lines
crosses                                      13275 lines
crossing                                     18522 lines
crossly                                      14711 lines
crouch                                       21412 lines
crouch's                                     21347 lines
crouched                                     20310 lines
crouches                                     11513 lines
crouching                                    20085 lines
crowd                                        21957 lines
crowd's                                      18026 lines
crowded                                      21922 lines
crowds                                       13625 lines
crowed                                       6066 lines
cruciatus                                    20066 lines
crucio                                       19955 lines
crude                                        15078 lines
cruel                                        19596 lines
crumbs                                       5481 lines
crumpled                                     19557 lines
crumpling                                    6662 lines
crunching                                    15775 lines
crushed                                      19717 lines
cry                                          20637 lines
crying                                       19558 lines
crystal                                      15613 lines
crystalline                                  11215 lines
ctuous                                       7450 lines
cube                                         446 lines
cubicles                                     10792 lines
cuddly                                       16427 lines
cuff                                         4983 lines
cuffing                                      6844 lines
cuffs                                        12450 lines
culminated                                   12320 lines
culprit                                      4030 lines
culprits                                     4308 lines
cunning                                      20504 lines
cunningly                                    8427 lines
cup                                          22184 lines
cup's                                        19316 lines
cupboard                                     17472 lines
cuppa                                        21747 lines
cupped                                       456 lines
cups                                         21755 lines
cur                                          8373 lines
curb                                         7190 lines
cure                                         17577 lines
cured                                        7989 lines
curiosity                                    18323 lines
curious                                      21341 lines
curiously                                    21749 lines
curity                                       4309 lines
curl                                         20274 lines
curled                                       21981 lines
curling                                      19797 lines
curls                                        9152 lines
curly                                        3540 lines
curly-haired                                 15437 lines
currant                                      900 lines
currently                                    18883 lines
curse                                        22117 lines
cursed                                       2415 lines
curses                                       20254 lines
curt                                         17835 lines
curtain                                      17507 lines
curtained                                    17484 lines
curtains                                     13884 lines
curtly                                       20604 lines
curtsying                                    16170 lines
curve                                        20015 lines
curved                                       7465 lines
curving                                      330 lines
cused                                        3030 lines
cushion                                      21982 lines
cushions                                     17472 lines
custard                                      11069 lines
cut                                          21055 lines
cute                                         12273 lines
cuthbert                                     2445 lines
cutlery                                      1653 lines
cuts                                         15296 lines
cutting                                      20660 lines
cuttings                                     15536 lines
d                                            21944 lines
d'you                                        19352 lines
d-dobby                                      11325 lines
daaaaaaaarrrrrgh                             1115 lines
dab                                          10798 lines
dad                                          22182 lines
dad's                                        18027 lines
daddies                                      13324 lines
daddy                                        3517 lines
daddy's                                      2316 lines
dagger                                       21052 lines
daily                                        21989 lines
dam                                          8990 lines
damage                                       11854 lines
damaged                                      20773 lines
damn                                         17011 lines
damp                                         14124 lines
dance                                        13047 lines
danced                                       11598 lines
dancer                                       17641 lines
dancin                                       11789 lines
dancing                                      19470 lines
danger                                       20650 lines
dangerous                                    21710 lines
dangerously                                  15606 lines
dangers                                      13307 lines
dangling                                     18977 lines
dank                                         1989 lines
dar                                          974 lines
dare                                         19649 lines
dared                                        19851 lines
daresay                                      19733 lines
daring                                       11495 lines
dark                                         22097 lines
dark-haired                                  18712 lines
darkened                                     15883 lines
darkening                                    18885 lines
darker                                       18913 lines
darkest                                      19872 lines
darkly                                       22135 lines
darkness                                     20274 lines
darling                                      682 lines
darning                                      8029 lines
dart                                         19791 lines
darted                                       17924 lines
darting                                      19620 lines
darts                                        14994 lines
dash                                         13568 lines
dashed                                       20260 lines
dashing                                      9207 lines
date                                         14618 lines
dates                                        15401 lines
dating                                       1051 lines
daughter                                     2490 lines
davies                                       13015 lines
dawn                                         17296 lines
dawned                                       17793 lines
dawning                                      21329 lines
day                                          22095 lines
daybreak                                     17137 lines
daylight                                     15194 lines
days                                         22008 lines
dazed                                        21317 lines
dazedly                                      15362 lines
dazzled                                      3322 lines
dazzling                                     19716 lines
de                                           21461 lines
dead                                         21659 lines
deadened                                     15976 lines
deadly                                       9696 lines
deaf                                         13740 lines
deafened                                     22101 lines
deafening                                    10621 lines
deafness                                     15583 lines
deal                                         22081 lines
dealing                                      22205 lines
deals                                        19137 lines
dean                                         13245 lines
dean's                                       11729 lines
dear                                         21703 lines
dearest                                      20553 lines
dearly                                       761 lines
dears                                        17489 lines
death                                        21876 lines
deathbed                                     15989 lines
deathday                                     11020 lines
deaths                                       21412 lines
debat                                        5666 lines
debating                                     11246 lines
debt                                         19696 lines
debts                                        22185 lines
decapitation                                 6738 lines
decay                                        140 lines
deceived                                     1915 lines
december                                     11085 lines
decency                                      16468 lines
decent                                       20515 lines
decide                                       21483 lines
decided                                      22131 lines
decides                                      5677 lines
deciding                                     7968 lines
deciphered                                   5963 lines
decision                                     21285 lines
decisions                                    21482 lines
deck                                         20292 lines
declared                                     6315 lines
decline                                      15763 lines
decor                                        22123 lines
decorated                                    21804 lines
decorations                                  21803 lines
dedicated                                    15962 lines
deduced                                      11797 lines
deduction                                    7697 lines
deep                                         21040 lines
deep-blue                                    1684 lines
deep-seated                                  18605 lines
deepened                                     18913 lines
deeper                                       21227 lines
deepest                                      12529 lines
deeply                                       22205 lines
defeated                                     18592 lines
defend                                       20087 lines
defense                                      21729 lines
defensive                                    3136 lines
defensively                                  7502 lines
defiant                                      21365 lines
defiantly                                    21893 lines
defined                                      2609 lines
definite                                     12576 lines
definitely                                   18665 lines
deflect                                      11806 lines
deflected                                    19828 lines
deformed                                     5839 lines
degrees                                      5365 lines
dejected                                     3306 lines
delacour                                     21929 lines
delacour's                                   15082 lines
delay                                        15340 lines
delays                                       15400 lines
delegation                                   7299 lines
delegations                                  7072 lines
deletrius                                    3975 lines
deliberately                                 15655 lines
delicious                                    16153 lines
delight                                      14649 lines
delighted                                    17907 lines
delightedly                                  16192 lines
delinquent                                   11774 lines
deliver                                      20486 lines
delivered                                    1555 lines
delivering                                   11858 lines
delivery                                     10963 lines
delusion                                     15566 lines
demand                                       18576 lines
demanded                                     21259 lines
demanding                                    21171 lines
dementor                                     21298 lines
dementors                                    21435 lines
demise                                       15452 lines
demolished                                   5481 lines
demon                                        15003 lines
demonstrate                                  21033 lines
demonstrated                                 15318 lines
demonstrating                                11922 lines
demort                                       523 lines
den                                          1069 lines
denied                                       17583 lines
denizens                                     14764 lines
dennis                                       14898 lines
dennis's                                     7316 lines
densaugeo                                    9004 lines
dense                                        20188 lines
densest                                      20165 lines
dent                                         714 lines
dented                                       15521 lines
dentists                                     12268 lines
dents                                        8412 lines
deny                                         12896 lines
denying                                      16915 lines
departed                                     17289 lines
department                                   17938 lines
department's                                 12868 lines
departments                                  5611 lines
departure                                    1950 lines
depending                                    16676 lines
depicted                                     10992 lines
deposited                                    7259 lines
depressingly                                 12446 lines
deprive                                      20001 lines
deprived                                     15452 lines
depths                                       19406 lines
deputy                                       5090 lines
der                                          1207 lines
dered                                        4596 lines
derelict                                     8 lines
derisive                                     7554 lines
dervish                                      15690 lines
des                                          2918 lines
descended                                    16084 lines
descending                                   16393 lines
descent                                      3116 lines
describe                                     21297 lines
described                                    21141 lines
descriptions                                 4461 lines
desert                                       226 lines
deserted                                     19395 lines
deserve                                      19700 lines
deserved                                     18478 lines
deserves                                     16368 lines
designed                                     18984 lines
desire                                       19103 lines
desisted                                     9352 lines
desk                                         21067 lines
desks                                        17300 lines
desktop                                      6469 lines
despair                                      20828 lines
despairingly                                 8730 lines
desperate                                    17951 lines
desperately                                  19690 lines
desperation                                  18634 lines
despicable                                   18049 lines
despise                                      4001 lines
despised                                     504 lines
despite                                      12202 lines
desserts                                     7644 lines
destabilize                                  21416 lines
destiny                                      5963 lines
destroy                                      21466 lines
destroyed                                    21462 lines
destroying                                   19763 lines
detail                                       10928 lines
detailed                                     6028 lines
details                                      17589 lines
detectable                                   20504 lines
detectors                                    20874 lines
detects                                      10350 lines
detention                                    17286 lines
detentions                                   9553 lines
determination                                21474 lines
determined                                   21416 lines
determinedly                                 15499 lines
detest                                       4002 lines
develop                                      6658 lines
developed                                    13303 lines
developing                                   12210 lines
devil                                        2569 lines
devious                                      15461 lines
devised                                      19938 lines
devoid                                       9878 lines
devoted                                      19752 lines
devotion                                     236 lines
devour                                       15755 lines
dewy                                         2322 lines
di                                           1292 lines
dia                                          3393 lines
diagon                                       9307 lines
diagonal                                     5527 lines
dial                                         3134 lines
dials                                        2687 lines
diamond                                      19517 lines
diamond-patterned                            337 lines
diamonds                                     19447 lines
diary                                        17800 lines
diatribe                                     1060 lines
dick                                         5476 lines
dicky                                        2561 lines
dictionary                                   10465 lines
did                                          22267 lines
diddy                                        682 lines
didn                                         11761 lines
didn't                                       22194 lines
didnt                                        14643 lines
die                                          20087 lines
died                                         21868 lines
dies                                         3435 lines
diet                                         1434 lines
dif                                          7696 lines
differed                                     7117 lines
difference                                   17852 lines
differences                                  21908 lines
different                                    22247 lines
different-colored                            13912 lines
differently                                  13883 lines
difficult                                    21912 lines
difficulties                                 2546 lines
difficulty                                   18871 lines
diffindo                                     10250 lines
diffrent                                     5864 lines
dig                                          13686 lines
digging                                      16421 lines
diggory                                      22202 lines
diggory's                                    21689 lines
diggorys                                     21685 lines
dignation                                    1325 lines
dignified                                    9549 lines
dignity                                      5919 lines
digs                                         16422 lines
dilating                                     20040 lines
dilemmas                                     14732 lines
diluting                                     1991 lines
dim                                          18012 lines
diminished                                   19390 lines
dimitrov                                     3234 lines
dimly                                        21231 lines
dimmer                                       635 lines
din                                          9052 lines
ding                                         5464 lines
dingbat                                      9282 lines
dingy                                        71 lines
dining                                       12634 lines
dinner                                       20934 lines
dinner's                                     4470 lines
dinosaur                                     13044 lines
dipped                                       8806 lines
dippet                                       14065 lines
dipping                                      6655 lines
direct                                       21541 lines
directed                                     19734 lines
directing                                    1617 lines
direction                                    22101 lines
directions                                   19517 lines
directly                                     21912 lines
dirtier                                      3154 lines
dirty                                        22201 lines
dis                                          8174 lines
disable                                      10352 lines
disagreement                                 3380 lines
disagrees                                    18319 lines
disap                                        5016 lines
disapparate                                  21500 lines
disapparated                                 15846 lines
disapparating                                17125 lines
disappear                                    20245 lines
disappearance                                18792 lines
disappearances                               18319 lines
disappeared                                  21635 lines
disappearing                                 20668 lines
disappointed                                 19742 lines
disappointing                                20565 lines
disappointment                               19674 lines
disapproval                                  2549 lines
disapproving                                 16213 lines
disarming                                    20000 lines
disarray                                     15919 lines
disbanded                                    525 lines
disbelief                                    21861 lines
disbelieving                                 21773 lines
disbelievingly                               13142 lines
discarded                                    17299 lines
discern                                      15000 lines
disclose                                     2657 lines
discomforted                                 3999 lines
discomposed                                  12908 lines
disconcerting                                529 lines
discontinued                                 5603 lines
